name,diet,period_description,period,period_from,period_to,lived_in,type,length,taxonomy,named_description,named_by,named_year,species,link
Aardonyx,herbivorous,Early Jurassic 199-189 million years ago,Early Jurassic,199,189,South Africa,sauropod,8.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria,Yates Bonnan Neveling Chinsamy and Blackbeard (2009),Yates Bonnan Neveling Chinsamy and Blackbeard,2009,celestae,https://www.nhm.ac.uk/discover/dino-directory/aardonyx.html
Abelisaurus,carnivorous,Late Cretaceous 74-70 million years ago,Late Cretaceous,74,70,Argentina,large theropod,9.0,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae Abelisaurinae,Bonaparte and Novas (1985),Bonaparte and Novas,1985,comahuensis,https://www.nhm.ac.uk/discover/dino-directory/abelisaurus.html
Achelousaurus,herbivorous,Late Cretaceous 83-70 million years ago,Late Cretaceous,83,70,USA,ceratopsian,6.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Sampson  (1995),Sampson,1995,horneri,https://www.nhm.ac.uk/discover/dino-directory/achelousaurus.html
Achillobator,carnivorous,Late Cretaceous 99-84 million years ago,Late Cretaceous,99,84,Mongolia,large theropod,5.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Perle Norell and Clark (1999),Perle Norell and Clark,1999,giganteus,https://www.nhm.ac.uk/discover/dino-directory/achillobator.html
Acrocanthosaurus,carnivorous,Early Cretaceous 115-105 million years ago,Early Cretaceous,115,105,USA,large theropod,12.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Stovall and Langston (1950),Stovall and Langston,1950,atokensis,https://www.nhm.ac.uk/discover/dino-directory/acrocanthosaurus.html
Aegyptosaurus,herbivorous,Late Cretaceous 98-93 million years ago,Late Cretaceous,98,93,Egypt,sauropod,15.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Stromer (1932),Stromer,1932,baharijensis,https://www.nhm.ac.uk/discover/dino-directory/aegyptosaurus.html
Afrovenator,carnivorous,Early Cretaceous 132-121 million years ago,Early Cretaceous,132,121,Niger,large theropod,9.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,Sereno Wilson Larsson Dutheil and Sues (1944),Sereno Wilson Larsson Dutheil and Sues,1944,abakensis,https://www.nhm.ac.uk/discover/dino-directory/afrovenator.html
Agilisaurus,herbivorous,Late Jurassic 169-159 million years ago,Late Jurassic,169,159,China,euornithopod,1.5,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Peng (1990),Peng,1990,louderbacki,https://www.nhm.ac.uk/discover/dino-directory/agilisaurus.html
Alamosaurus,herbivorous,Late Cretaceous 70-65 million years ago,Late Cretaceous,70,65,USA,sauropod,21.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Gilmore (1922),Gilmore,1922,sanjuanensis,https://www.nhm.ac.uk/discover/dino-directory/alamosaurus.html
Albertaceratops,herbivorous,Late Cretaceous 80-75 million years ago,Late Cretaceous,80,75,USA,ceratopsian,7.0,Dinosauria Ornithischia,Ryan 2007,Ryan,2007,nesmoi,https://www.nhm.ac.uk/discover/dino-directory/albertaceratops.html
Albertosaurus,carnivorous,Late Cretaceous 76-74 million years ago,Late Cretaceous,76,74,Canada,large theropod,9.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae,Lamb (1914),Lamb,1914,libratus,https://www.nhm.ac.uk/discover/dino-directory/albertosaurus.html
Alectrosaurus,carnivorous,Late Cretaceous 90-70 million years ago,Late Cretaceous,90,70,Mongolia,large theropod,5.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Gilmore (1933),Gilmore,1933,olseni,https://www.nhm.ac.uk/discover/dino-directory/alectrosaurus.html
Alioramus,carnivorous,Late Cretaceous 71-65 million years ago,Late Cretaceous,71,65,Mongolia,large theropod,6.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Kurzanov (1976),Kurzanov,1976,remotus,https://www.nhm.ac.uk/discover/dino-directory/alioramus.html
Allosaurus,carnivorous,Late Jurassic 156-144 million years ago,Late Jurassic,156,144,USA,large theropod,12.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,Marsh (1877),Marsh,1877,fragilis,https://www.nhm.ac.uk/discover/dino-directory/allosaurus.html
Alvarezsaurus,carnivorous,Late Cretaceous 89-85 million years ago,Late Cretaceous,89,85,Argentina,small theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,Bonaparte (1991),Bonaparte,1991,calvoi,https://www.nhm.ac.uk/discover/dino-directory/alvarezsaurus.html
Amargasaurus,herbivorous,Early Cretaceous 132-127 million years ago,Early Cretaceous,132,127,Argentina,sauropod,12.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,Salgado and Bonaparte (1991),Salgado and Bonaparte,1991,cazaui,https://www.nhm.ac.uk/discover/dino-directory/amargasaurus.html
Ammosaurus,herbivorous,Early Jurassic 195-180 million years ago,Early Jurassic,195,180,USA,sauropod,5.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Anchisauridae,Marsh (1891),Marsh,1891,major,https://www.nhm.ac.uk/discover/dino-directory/ammosaurus.html
